"gSCBoth.count"	"freq"
"203"	204	6
"204"	205	6
"205"	206	2
"206"	207	3
"207"	208	5
"208"	209	1
"209"	210	1
"210"	211	1
"211"	212	1
"212"	213	3
"213"	214	1
"214"	215	3
"215"	216	3
"216"	217	3
"217"	218	5
"218"	219	3
"219"	220	4
"220"	222	4
"221"	223	2
"222"	224	4
"223"	225	1
"224"	226	3
"225"	227	2
"226"	228	1
"227"	229	2
"228"	230	3
"229"	232	2
"230"	233	2
"231"	234	4
"232"	235	2
"233"	236	5
"234"	237	2
"235"	239	3
"236"	240	2
"237"	242	4
"238"	243	4
"239"	244	3
"240"	245	2
"241"	247	3
"242"	248	1
"243"	249	2
"244"	250	1
"245"	252	8
"246"	253	1
"247"	254	2
"248"	255	3
"249"	256	1
"250"	258	2
"251"	259	2
"252"	260	1
"253"	261	1
"254"	262	3
"255"	264	2
"256"	265	1
"257"	267	2
"258"	268	3
"259"	269	5
"260"	270	1
"261"	271	3
"262"	272	2
"263"	273	1
"264"	275	5
"265"	277	1
"266"	278	2
"267"	279	2
"268"	280	1
"269"	281	2
"270"	282	1
"271"	285	2
"272"	286	1
"273"	287	3
"274"	289	1
"275"	291	1
"276"	292	1
"277"	293	1
"278"	295	1
"279"	298	1
"280"	299	4
"281"	300	2
"282"	301	3
"283"	302	2
"284"	304	2
"285"	305	1
"286"	307	3
"287"	309	2
"288"	310	1
"289"	312	1
"290"	314	3
"291"	317	3
"292"	318	1
"293"	319	2
"294"	320	3
"295"	321	1
"296"	323	3
"297"	325	1
"298"	326	4
"299"	327	1
"300"	328	1
"301"	332	1
"302"	333	2
"303"	335	1
"304"	336	2
"305"	337	2
"306"	339	1
"307"	340	1
"308"	343	2
"309"	344	2
"310"	345	2
"311"	348	1
"312"	349	1
"313"	350	2
"314"	352	2
"315"	353	1
"316"	354	1
"317"	356	1
"318"	361	2
"319"	363	1
"320"	364	1
"321"	365	1
"322"	367	1
"323"	369	2
"324"	370	3
"325"	372	2
"326"	373	1
"327"	374	5
"328"	375	1
"329"	376	1
"330"	377	1
"331"	378	1
"332"	380	1
"333"	381	2
"334"	382	5
"335"	384	2
"336"	385	1
"337"	386	1
"338"	387	1
"339"	389	2
"340"	390	3
"341"	394	2
"342"	397	1
"343"	399	1
"344"	402	2
"345"	403	1
"346"	404	1
"347"	406	1
"348"	407	2
"349"	408	1
"350"	411	1
"351"	412	2
"352"	413	1
"353"	414	2
"354"	415	1
"355"	417	2
"356"	419	2
"357"	420	1
"358"	423	1
"359"	424	1
"360"	425	1
"361"	428	2
"362"	429	1
"363"	431	2
"364"	432	1
"365"	435	1
"366"	437	1
"367"	441	1
"368"	442	1
"369"	443	1
"370"	450	1
"371"	451	2
"372"	453	2
"373"	457	2
"374"	460	1
"375"	461	2
"376"	462	1
"377"	465	2
"378"	474	1
"379"	475	2
"380"	477	1
"381"	478	1
"382"	479	1
"383"	480	1
"384"	483	1
"385"	486	1
"386"	488	1
"387"	490	1
"388"	493	2
"389"	497	1
"390"	498	1
"391"	499	2
"392"	507	1
"393"	508	1
"394"	509	1
"395"	511	1
"396"	512	1
"397"	513	1
"398"	514	1
"399"	515	2
"400"	516	1
"401"	517	1
"402"	518	1
"403"	521	2
"404"	522	1
"405"	523	1
"406"	527	1
"407"	530	1
"408"	531	1
"409"	539	1
"410"	540	1
"411"	541	1
"412"	543	1
"413"	546	1
"414"	550	1
"415"	556	1
"416"	574	1
"417"	578	1
"418"	582	1
"419"	586	1
"420"	589	1
"421"	597	1
"422"	598	1
"423"	610	2
"424"	612	1
"425"	618	1
"426"	622	1
"427"	632	1
"428"	656	1
"429"	657	1
"430"	666	1
"431"	669	1
"432"	676	1
"433"	679	1
"434"	681	1
"435"	702	1
"436"	703	1
"437"	704	1
"438"	722	1
"439"	737	1
"440"	742	1
"441"	749	1
"442"	754	1
"443"	768	1
"444"	829	1
"445"	940	1
"446"	954	1
"447"	983	1
"448"	985	1
"449"	1088	1
"450"	1116	1
