"colBoth.protein"	"colBoth.count"
"473"	"AT4G35950"	2
"474"	"AT4G37000"	2
"475"	"AT4G37650"	6
"476"	"AT4G38130"	4
"477"	"AT4G38580"	2
"478"	"AT4G38800"	2
"479"	"AT4G39400"	12
"480"	"AT4G39550"	4
"481"	"AT4G39890"	2
"482"	"AT5G01410"	8
"483"	"AT5G01810"	4
"484"	"AT5G01820"	3
"485"	"AT5G02200"	6
"486"	"AT5G02820"	4
"487"	"AT5G03150"	8
"488"	"AT5G03415"	6
"489"	"AT5G03530"	2
"490"	"AT5G03730"	3
"491"	"AT5G04200"	2
"492"	"AT5G04510"	2
"493"	"AT5G05000"	5
"494"	"AT5G05170"	4
"495"	"AT5G05410"	3
"496"	"AT5G06950"	6
"497"	"AT5G06960"	4
"498"	"AT5G07280"	2
"499"	"AT5G08130"	6
"500"	"AT5G08790"	2
"501"	"AT5G09250"	4
"502"	"AT5G10140"	2
"503"	"AT5G10380"	5
"504"	"AT5G10450"	11
"505"	"AT5G11260"	6
"506"	"AT5G11390"	8
"507"	"AT5G13060"	4
"508"	"AT5G13160"	2
"509"	"AT5G13480"	8
"510"	"AT5G13530"	2
"511"	"AT5G13570"	4
"512"	"AT5G14250"	6
"513"	"AT5G14420"	2
"514"	"AT5G15210"	7
"515"	"AT5G15840"	15
"516"	"AT5G15850"	9
"517"	"AT5G16320"	2
"518"	"AT5G16490"	3
"519"	"AT5G16690"	8
"520"	"AT5G16830"	6
"521"	"AT5G16840"	7
"522"	"AT5G17420"	4
"523"	"AT5G17690"	4
"524"	"AT5G18810"	11
"525"	"AT5G19000"	6
"526"	"AT5G19280"	10
"527"	"AT5G19330"	9
"528"	"AT5G20020"	2
"529"	"AT5G20320"	2
"530"	"AT5G20570"	12
"531"	"AT5G20730"	6
"532"	"AT5G20850"	6
"533"	"AT5G21170"	2
"534"	"AT5G22220"	3
"535"	"AT5G22370"	2
"536"	"AT5G22880"	2
"537"	"AT5G23880"	13
"538"	"AT5G24020"	2
"539"	"AT5G24270"	3
"540"	"AT5G24470"	6
"541"	"AT5G24520"	6
"542"	"AT5G24800"	9
"543"	"AT5G24850"	2
"544"	"AT5G25760"	2
"545"	"AT5G26980"	5
"546"	"AT5G27150"	2
"547"	"AT5G27600"	2
"548"	"AT5G28770"	9
"549"	"AT5G28840"	2
"550"	"AT5G35410"	7
"551"	"AT5G37055"	4
"552"	"AT5G39340"	14
"553"	"AT5G39510"	5
"554"	"AT5G39760"	11
"555"	"AT5G39830"	2
"556"	"AT5G40160"	2
"557"	"AT5G40280"	2
"558"	"AT5G40330"	2
"559"	"AT5G41315"	9
"560"	"AT5G41700"	5
"561"	"AT5G41790"	2
"562"	"AT5G42080"	2
"563"	"AT5G42190"	19
"564"	"AT5G42480"	8
"565"	"AT5G42750"	2
"566"	"AT5G42970"	10
"567"	"AT5G43900"	4
"568"	"AT5G44030"	3
"569"	"AT5G44200"	6
"570"	"AT5G45110"	8
"571"	"AT5G45390"	2
"572"	"AT5G46210"	12
"573"	"AT5G46240"	7
"574"	"AT5G47100"	3
"575"	"AT5G48670"	2
"576"	"AT5G48990"	2
"577"	"AT5G49020"	3
"578"	"AT5G49450"	9
"579"	"AT5G49610"	14
"580"	"AT5G49940"	2
"581"	"AT5G50960"	2
"582"	"AT5G51660"	4
"583"	"AT5G51700"	2
"584"	"AT5G52640"	4
"585"	"AT5G53300"	2
"586"	"AT5G54490"	3
"587"	"AT5G54670"	4
"588"	"AT5G55280"	5
"589"	"AT5G55990"	12
"590"	"AT5G56210"	3
"591"	"AT5G56290"	6
"592"	"AT5G56600"	2
"593"	"AT5G57050"	6
"594"	"AT5G57360"	16
"595"	"AT5G57380"	3
"596"	"AT5G57660"	2
"597"	"AT5G58140"	3
"598"	"AT5G58230"	5
"599"	"AT5G58670"	2
"600"	"AT5G59800"	2
"601"	"AT5G60100"	4
"602"	"AT5G60540"	4
"603"	"AT5G61210"	3
"604"	"AT5G61380"	21
"605"	"AT5G61900"	2
"606"	"AT5G61960"	2
"607"	"AT5G62000"	2
"608"	"AT5G62430"	4
"609"	"AT5G62810"	2
"610"	"AT5G63310"	7
"611"	"AT5G64070"	3
"612"	"AT5G64200"	6
"613"	"AT5G64740"	4
"614"	"AT5G64920"	3
"615"	"AT5G65310"	6
"616"	"AT5G65410"	9
"617"	"AT5G65420"	4
"618"	"AT5G65430"	2
"619"	"AT5G65930"	2
"620"	"AT5G66030"	2
"621"	"AT5G66055"	2
"622"	"AT5G66190"	5
"623"	"AT5G67100"	2
"624"	"AT5G67380"	3
"625"	"AT5G67580"	2
"626"	"ATCG00020"	2
