"colBoth.protein"	"colBoth.count"
"428"	"B2078"	9
"429"	"B2079"	18
"430"	"B2091"	5
"431"	"B2092"	3
"432"	"B2093"	2
"433"	"B2096"	2
"434"	"B2104"	2
"435"	"B2109"	7
"436"	"B2110"	6
"437"	"B2126"	2
"438"	"B2149"	3
"439"	"B2151"	3
"440"	"B2156"	2
"441"	"B2167"	4
"442"	"B2168"	10
"443"	"B2169"	3
"444"	"B2178"	6
"445"	"B2179"	13
"446"	"B2193"	7
"447"	"B2195"	6
"448"	"B2196"	4
"449"	"B2197"	5
"450"	"B2199"	5
"451"	"B2201"	5
"452"	"B2202"	6
"453"	"B2203"	5
"454"	"B2204"	3
"455"	"B2205"	2
"456"	"B2206"	3
"457"	"B2213"	2
"458"	"B2215"	2
"459"	"B2217"	3
"460"	"B2218"	4
"461"	"B2220"	4
"462"	"B2221"	2
"463"	"B2231"	10
"464"	"B2232"	5
"465"	"B2234"	5
"466"	"B2235"	2
"467"	"B2240"	3
"468"	"B2241"	4
"469"	"B2242"	2
"470"	"B2261"	4
"471"	"B2262"	3
"472"	"B2264"	4
"473"	"B2277"	8
"474"	"B2278"	7
"475"	"B2282"	12
"476"	"B2283"	3
"477"	"B2284"	4
"478"	"B2285"	5
"479"	"B2286"	9
"480"	"B2287"	6
"481"	"B2297"	2
"482"	"B2306"	3
"483"	"B2307"	8
"484"	"B2308"	8
"485"	"B2309"	10
"486"	"B2310"	11
"487"	"B2311"	4
"488"	"B2312"	14
"489"	"B2313"	5
"490"	"B2314"	5
"491"	"B2315"	5
"492"	"B2316"	8
"493"	"B2317"	2
"494"	"B2318"	4
"495"	"B2320"	3
"496"	"B2321"	2
"497"	"B2323"	8
"498"	"B2328"	3
"499"	"B2329"	4
"500"	"B2336"	9
"501"	"B2341"	5
"502"	"B2373"	4
"503"	"B2380"	2
"504"	"B2383"	2
"505"	"B2386"	3
"506"	"B2406"	2
"507"	"B2414"	4
"508"	"B2415"	6
"509"	"B2416"	4
"510"	"B2417"	7
"511"	"B2421"	4
"512"	"B2422"	5
"513"	"B2423"	11
"514"	"B2425"	3
"515"	"B2453"	2
"516"	"B2454"	3
"517"	"B2455"	4
"518"	"B2456"	2
"519"	"B2464"	2
"520"	"B2465"	2
"521"	"B2470"	6
"522"	"B2472"	2
"523"	"B2476"	8
"524"	"B2478"	4
"525"	"B2482"	5
"526"	"B2484"	8
"527"	"B2487"	8
"528"	"B2489"	5
"529"	"B2498"	4
"530"	"B2499"	7
"531"	"B2500"	7
"532"	"B2507"	5
"533"	"B2508"	3
"534"	"B2509"	3
"535"	"B2515"	4
"536"	"B2526"	9
"537"	"B2527"	3
"538"	"B2528"	4
"539"	"B2529"	5
"540"	"B2530"	7
"541"	"B2553"	2
"542"	"B2556"	3
"543"	"B2557"	8
"544"	"B2564"	5
"545"	"B2565"	4
"546"	"B2566"	3
"547"	"B2571"	3
