"test5.gene"	"test5.count"
"361"	"BDF1"	195
"362"	"BDF2"	93
"363"	"BDH1"	37
"364"	"BDH2"	9
"365"	"BDP1"	27
"366"	"BEM1"	590
"367"	"BEM2"	380
"368"	"BEM3"	95
"369"	"BEM4"	139
"370"	"BET1"	70
"371"	"BET2"	50
"372"	"BET3"	90
"373"	"BET4"	14
"374"	"BET5"	48
"375"	"BFA1"	146
"376"	"BFR1"	194
"377"	"BFR2"	53
"378"	"BGL2"	73
"379"	"BI2"	4
"380"	"BI4"	9
"381"	"BIG1"	100
"382"	"BIK1"	202
"383"	"BIL1"	31
"384"	"BIM1"	543
"385"	"BIO2"	41
"386"	"BIO4"	14
"387"	"BIO5"	5
"388"	"BIR1"	46
"389"	"BIT2"	71
"390"	"BIT61"	61
"391"	"BLI1"	59
"392"	"BLM10"	117
"393"	"BLS1"	19
"394"	"BMH1"	374
"395"	"BMH2"	201
"396"	"BMS1"	179
"397"	"BMT2"	109
"398"	"BMT5"	22
"399"	"BMT6"	21
"400"	"BNA1"	51
"401"	"BNA2"	35
"402"	"BNA3"	28
"403"	"BNA4"	54
"404"	"BNA5"	40
"405"	"BNA6"	25
"406"	"BNI1"	446
"407"	"BNI4"	147
"408"	"BNI5"	34
"409"	"BNR1"	129
"410"	"BNS1"	34
"411"	"BOI1"	94
"412"	"BOI2"	90
"413"	"BOL1"	7
"414"	"BOL2"	14
"415"	"BOL3"	11
"416"	"BOP2"	33
"417"	"BOP3"	18
"418"	"BOR1"	20
"419"	"BOS1"	151
"420"	"BPH1"	91
"421"	"BPL1"	22
"422"	"BPT1"	35
"423"	"BRE1"	536
"424"	"BRE2"	295
"425"	"BRE4"	15
"426"	"BRE5"	1082
"427"	"BRF1"	42
"428"	"BRL1"	19
"429"	"BRN1"	43
"430"	"BRO1"	101
"431"	"BRR1"	210
"432"	"BRR2"	200
"433"	"BRR6"	24
"434"	"BRX1"	132
"435"	"BSC1"	7
"436"	"BSC2"	5
"437"	"BSC6"	22
"438"	"BSD2"	134
"439"	"BSP1"	77
"440"	"BST1"	302
"441"	"BTN2"	51
"442"	"BTS1"	340
"443"	"BTT1"	30
"444"	"BUB1"	546
"445"	"BUB2"	170
"446"	"BUB3"	518
"447"	"BUD13"	209
"448"	"BUD14"	179
"449"	"BUD16"	21
"450"	"BUD17"	11
"451"	"BUD2"	27
"452"	"BUD20"	97
"453"	"BUD21"	149
"454"	"BUD22"	15
"455"	"BUD23"	49
"456"	"BUD27"	309
"457"	"BUD3"	69
"458"	"BUD31"	193
"459"	"BUD32"	102
"460"	"BUD4"	59
"461"	"BUD5"	17
"462"	"BUD6"	106
"463"	"BUD7"	31
"464"	"BUD8"	48
"465"	"BUD9"	17
"466"	"BUG1"	91
"467"	"BUL1"	133
"468"	"BUL2"	63
"469"	"BUR2"	60
"470"	"BUR6"	51
"471"	"BXI1"	21
"472"	"BYE1"	25
"473"	"BZZ1"	135
"474"	"CAB1"	75
"475"	"CAB2"	52
"476"	"CAB3"	40
"477"	"CAB4"	16
"478"	"CAB5"	34
"479"	"CAC2"	143
"480"	"CAD1"	37
"481"	"CAF120"	34
"482"	"CAF130"	68
"483"	"CAF16"	17
"484"	"CAF20"	55
"485"	"CAF4"	81
"486"	"CAF40"	130
"487"	"CAJ1"	94
"488"	"CAK1"	130
"489"	"CAM1"	57
"490"	"CAN1"	66
"491"	"CAP1"	102
"492"	"CAP2"	90
"493"	"CAR1"	20
"494"	"CAR2"	43
"495"	"CAT2"	34
"496"	"CAT5"	120
"497"	"CAT8"	32
"498"	"CAX4"	48
"499"	"CBC2"	349
"500"	"CBF1"	268
"501"	"CBF2"	129
"502"	"CBF5"	194
"503"	"CBK1"	133
"504"	"CBP1"	11
"505"	"CBP2"	19
"506"	"CBP3"	27
"507"	"CBP4"	112
"508"	"CBP6"	19
"509"	"CBR1"	67
"510"	"CBS1"	12
"511"	"CBS2"	70
"512"	"CBT1"	116
"513"	"CCA1"	20
"514"	"CCC1"	46
"515"	"CCC2"	38
"516"	"CCE1"	11
"517"	"CCH1"	57
"518"	"CCL1"	43
"519"	"CCP1"	25
"520"	"CCR4"	335
"521"	"CCS1"	214
"522"	"CCT2"	85
"523"	"CCT3"	115
"524"	"CCT4"	75
"525"	"CCT5"	42
"526"	"CCT6"	120
"527"	"CCT7"	40
"528"	"CCT8"	55
"529"	"CCW12"	248
"530"	"CCW14"	27
"531"	"CCZ1"	225
"532"	"CDA1"	8
"533"	"CDA2"	19
"534"	"CDC1"	59
"535"	"CDC10"	199
"536"	"CDC11"	247
"537"	"CDC12"	199
"538"	"CDC123"	17
"539"	"CDC13"	599
"540"	"CDC14"	291
"541"	"CDC15"	119
"542"	"CDC16"	63
"543"	"CDC19"	154
"544"	"CDC20"	294
"545"	"CDC21"	15
"546"	"CDC23"	123
"547"	"CDC24"	187
"548"	"CDC25"	101
"549"	"CDC26"	87
"550"	"CDC27"	116
"551"	"CDC28"	794
"552"	"CDC3"	524
"553"	"CDC31"	67
"554"	"CDC33"	136
"555"	"CDC34"	196
"556"	"CDC36"	110
"557"	"CDC37"	215
"558"	"CDC39"	97
"559"	"CDC4"	137
"560"	"CDC40"	82
"561"	"CDC42"	217
"562"	"CDC43"	49
"563"	"CDC45"	166
"564"	"CDC48"	323
"565"	"CDC5"	211
"566"	"CDC50"	122
"567"	"CDC53"	93
"568"	"CDC55"	241
"569"	"CDC6"	150
"570"	"CDC60"	57
"571"	"CDC7"	207
"572"	"CDC73"	806
"573"	"CDC8"	90
"574"	"CDC9"	54
"575"	"CDD1"	18
"576"	"CDH1"	302
"577"	"CDS1"	27
"578"	"CEF1"	92
"579"	"CEG1"	89
"580"	"CEM1"	200
"581"	"CEP3"	84
"582"	"CET1"	90
"583"	"CEX1"	44
"584"	"CFD1"	16
"585"	"CFT1"	63
"586"	"CFT2"	46
"587"	"CGI121"	26
"588"	"CGR1"	136
"589"	"CHA1"	36
"590"	"CHA4"	78
"591"	"CHC1"	115
"592"	"CHD1"	273
"593"	"CHK1"	199
"594"	"CHL1"	309
"595"	"CHL4"	184
"596"	"CHM7"	88
"597"	"CHO1"	41
"598"	"CHO2"	485
"599"	"CHS1"	119
"600"	"CHS2"	52
"601"	"CHS3"	205
"602"	"CHS5"	308
"603"	"CHS6"	153
"604"	"CHS7"	175
"605"	"CHZ1"	38
"606"	"CIA1"	16
"607"	"CIA2"	11
"608"	"CIC1"	179
"609"	"CIK1"	604
"610"	"CIN1"	204
"611"	"CIN2"	171
"612"	"CIN4"	90
"613"	"CIN5"	57
"614"	"CIN8"	325
"615"	"CIR1"	16
"616"	"CIR2"	8
"617"	"CIS3"	23
"618"	"CIT1"	65
"619"	"CIT2"	53
"620"	"CIT3"	31
"621"	"CKA1"	288
"622"	"CKA2"	318
"623"	"CKB1"	340
"624"	"CKB2"	320
"625"	"CKI1"	93
"626"	"CKS1"	204
"627"	"CLA4"	697
"628"	"CLB1"	79
"629"	"CLB2"	270
"630"	"CLB3"	121
"631"	"CLB4"	79
"632"	"CLB5"	247
"633"	"CLB6"	53
"634"	"CLC1"	393
"635"	"CLF1"	95
"636"	"CLG1"	86
"637"	"CLN1"	204
"638"	"CLN2"	234
"639"	"CLN3"	192
"640"	"CLP1"	43
"641"	"CLU1"	100
"642"	"CMC1"	48
"643"	"CMC2"	5
"644"	"CMD1"	215
"645"	"CMK1"	223
"646"	"CMK2"	101
"647"	"CMP2"	61
"648"	"CMR1"	691
"649"	"CMR3"	33
"650"	"CNA1"	75
"651"	"CNB1"	263
"652"	"CNE1"	202
"653"	"CNL1"	48
"654"	"CNM67"	75
"655"	"CNN1"	46
"656"	"CNS1"	36
"657"	"COA1"	22
"658"	"COA2"	21
"659"	"COA3"	25
"660"	"COA4"	116
"661"	"COA6"	29
"662"	"COB"	35
"663"	"COF1"	90
"664"	"COG1"	54
"665"	"COG2"	107
"666"	"COG3"	252
"667"	"COG4"	126
"668"	"COG5"	389
"669"	"COG6"	422
"670"	"COG7"	268
"671"	"COG8"	365
"672"	"COM2"	21
"673"	"COP1"	187
"674"	"COQ10"	56
"675"	"COQ11"	42
"676"	"COQ2"	136
"677"	"COQ3"	64
"678"	"COQ4"	55
"679"	"COQ5"	22
"680"	"COQ6"	29
"681"	"COQ8"	58
"682"	"COQ9"	60
"683"	"COR1"	140
"684"	"COS1"	9
"685"	"COS10"	12
"686"	"COS111"	9
"687"	"COS12"	8
"688"	"COS3"	12
"689"	"COS4"	27
"690"	"COS5"	5
"691"	"COS6"	18
"692"	"COS7"	5
"693"	"COS8"	56
"694"	"COS9"	3
"695"	"COT1"	26
"696"	"COX1"	49
"697"	"COX10"	192
"698"	"COX11"	30
"699"	"COX12"	153
"700"	"COX13"	28
"701"	"COX14"	49
"702"	"COX15"	19
"703"	"COX17"	20
"704"	"COX18"	15
"705"	"COX2"	43
"706"	"COX20"	17
"707"	"COX23"	142
"708"	"COX3"	29
"709"	"COX4"	155
"710"	"COX5A"	116
"711"	"COX5B"	25
"712"	"COX6"	109
"713"	"COX7"	154
"714"	"COX8"	90
"715"	"COX9"	72
"716"	"COY1"	166
"717"	"CPA1"	26
"718"	"CPA2"	39
"719"	"CPD1"	7
"720"	"CPR1"	93
"721"	"CPR2"	18
"722"	"CPR3"	19
"723"	"CPR4"	5
"724"	"CPR5"	39
"725"	"CPR6"	106
"726"	"CPR7"	198
"727"	"CPR8"	60
"728"	"CPS1"	16
"729"	"CPT1"	62
"730"	"CRC1"	22
"731"	"CRD1"	137
"732"	"CRF1"	16
"733"	"CRG1"	79
"734"	"CRH1"	10
"735"	"CRM1"	810
"736"	"CRN1"	130
"737"	"CRP1"	31
"738"	"CRR1"	20
"739"	"CRS5"	15
"740"	"CRT10"	28
"741"	"CRZ1"	128
"742"	"CSC1"	29
"743"	"CSE1"	46
"744"	"CSE2"	612
"745"	"CSE4"	350
"746"	"CSF1"	426
"747"	"CSG2"	485
"748"	"CSH1"	42
"749"	"CSI1"	44
"750"	"CSL4"	59
"751"	"CSM1"	372
"752"	"CSM2"	55
"753"	"CSM3"	286
"754"	"CSM4"	12
"755"	"CSN9"	48
"756"	"CSR1"	34
"757"	"CSR2"	40
"758"	"CST26"	51
"759"	"CST6"	61
"760"	"CST9"	39
"761"	"CTA1"	40
"762"	"CTF13"	45
"763"	"CTF18"	495
"764"	"CTF19"	236
"765"	"CTF3"	91
"766"	"CTF4"	488
"767"	"CTF8"	469
